,fear,anger,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
book 1,0.10222855662088624,0.07242809017880279,0.11563876651982379,0.05202124902824566,0.18230111427831044,0.16448561803576056,0.07761077999481732,0.0518916817828453,0.07728686188131641,0.1041072816791915
book 2,0.10361803547706494,0.07376728920840822,0.11221380010940064,0.05282488083144487,0.18238649683519575,0.1594123622724076,0.07533015550519653,0.05438774712823318,0.07829960146909432,0.10775963116355396
book 3,0.11572309611253552,0.07248284942138451,0.10110179474741875,0.05224863141847412,0.17330746310027026,0.17282239623033746,0.0815605294158409,0.052802993555540155,0.07747210865497886,0.10047813734321946
book 4,0.10804597701149425,0.07011494252873564,0.11155474894131881,0.05063520871143376,0.18148820326678766,0.16660617059891106,0.07973381730187538,0.05378100423472474,0.07676950998185118,0.10127041742286752
book 5,0.1142745273520528,0.08009844501622106,0.10789797516500726,0.053921020248349924,0.17026513032777715,0.1704329343326994,0.07646269157623896,0.04883096543237499,0.0782526009620763,0.09956370958720215
