,fear,anger,trust,surprise,positive,negative,sadness,disgust,joy,anticipation,fear,anger,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
_book_4,0.10804597701149425,0.07011494252873564,0.11155474894131881,0.05063520871143376,0.18148820326678766,0.16660617059891106,0.07973381730187538,0.05378100423472474,0.07676950998185118,0.10127041742286752,0.08921256258534364,0.05325443786982249,0.1347291761492945,0.05917159763313609,0.2048247610377788,0.1524806554392353,0.07100591715976332,0.05461993627674101,0.07692307692307693,0.10377787892580792
_book_1,0.10222855662088624,0.07242809017880279,0.11563876651982379,0.05202124902824566,0.18230111427831044,0.16448561803576056,0.07761077999481732,0.0518916817828453,0.07728686188131641,0.1041072816791915,0.08603896103896104,0.060064935064935064,0.13528138528138528,0.05411255411255411,0.20346320346320346,0.14339826839826839,0.07467532467532467,0.05140692640692641,0.07738095238095238,0.11417748917748918
_book_3,0.11572309611253552,0.07248284942138451,0.10110179474741875,0.05224863141847412,0.17330746310027026,0.17282239623033746,0.0815605294158409,0.052802993555540155,0.07747210865497886,0.10047813734321946,0.10069444444444445,0.061507936507936505,0.11160714285714286,0.05009920634920635,0.18601190476190477,0.1572420634920635,0.08333333333333333,0.052083333333333336,0.09027777777777778,0.10714285714285714
_book_5,0.1142745273520528,0.08009844501622106,0.10789797516500726,0.053921020248349924,0.17026513032777715,0.1704329343326994,0.07646269157623896,0.04883096543237499,0.0782526009620763,0.09956370958720215,0.0891743119266055,0.06091743119266055,0.11669724770642202,0.06128440366972477,0.18385321100917432,0.15486238532110091,0.07045871559633028,0.047339449541284405,0.09211009174311927,0.12330275229357798
_book_2,0.10361803547706494,0.07376728920840822,0.11221380010940064,0.05282488083144487,0.18238649683519575,0.1594123622724076,0.07533015550519653,0.05438774712823318,0.07829960146909432,0.10775963116355396,0.09001233045622688,0.05363748458692972,0.14303329223181258,0.05363748458692972,0.21393341553637485,0.1344019728729963,0.07028360049321825,0.051787916152897656,0.08138101109741061,0.10789149198520345
