,fear,anger,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
book1,0.10123588197031518,0.07267459050322275,0.11584175980131275,0.05298326533025841,0.17940985157589734,0.16557270415705755,0.07876530069185737,0.051327538288687836,0.07781917095381705,0.10436993672757376
book3,0.11893728761198641,0.06940582844197302,0.09885696632684585,0.0503552672227371,0.17289671506538976,0.17464730717742766,0.07970342910101946,0.053959427453403354,0.07949747708783854,0.10174029451137885
book4,0.06622516556291391,0.03642384105960265,0.11920529801324503,0.0695364238410596,0.23178807947019867,0.1423841059602649,0.039735099337748346,0.04966887417218543,0.12251655629139073,0.12251655629139073
book5,0.11416812742931179,0.07971953357213626,0.10951909153265757,0.05373066077280695,0.1728526789116683,0.16988034448593858,0.0759088484109443,0.05014861672128649,0.07697584025607804,0.0970962579071717
