,fear,anger,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
jackson book 1,0.08603896103896104,0.060064935064935064,0.13528138528138528,0.05411255411255411,0.20346320346320346,0.14339826839826839,0.07467532467532467,0.05140692640692641,0.07738095238095238,0.11417748917748918
jackson book 2,0.09001233045622688,0.05363748458692972,0.14303329223181258,0.05363748458692972,0.21393341553637485,0.1344019728729963,0.07028360049321825,0.051787916152897656,0.08138101109741061,0.10789149198520345
jackson book 3,0.10069444444444445,0.061507936507936505,0.11160714285714286,0.05009920634920635,0.18601190476190477,0.1572420634920635,0.08333333333333333,0.052083333333333336,0.09027777777777778,0.10714285714285714
jackson book 4,0.08921256258534364,0.05325443786982249,0.1347291761492945,0.05917159763313609,0.2048247610377788,0.1524806554392353,0.07100591715976332,0.05461993627674101,0.07692307692307693,0.10377787892580792
jackson book 5,0.0891743119266055,0.06091743119266055,0.11669724770642202,0.06128440366972477,0.18385321100917432,0.15486238532110091,0.07045871559633028,0.047339449541284405,0.09211009174311927,0.12330275229357798
