,fear,anger,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
book1,0.10336954265550405,0.07361793399294264,0.11312530270532069,0.05223828962845084,0.18023939666505223,0.1662630595724071,0.07832283954888258,0.05251504877880025,0.07680066422196084,0.10350792223067876
book2,0.10174471992653811,0.07309458218549128,0.1118457300275482,0.052525252525252523,0.1844811753902663,0.15766758494031222,0.07493112947658402,0.052800734618916434,0.08016528925619834,0.11074380165289256
book3,0.11656983158049569,0.07251599617562697,0.0999485180554534,0.05332058542325513,0.17349415312201222,0.17180260351548135,0.08031183349268221,0.053099948518055454,0.07759064499521953,0.10134588512171802
book4,0.10762247020994893,0.06973078620515731,0.11203581110900952,0.050059895340772965,0.1825862177668495,0.1663829518945842,0.08000756572725554,0.05371666351428031,0.07660298846226593,0.10125464976987579
book5,0.11436983354093534,0.08022873966708187,0.10836824821651002,0.053504699354546485,0.1703657569924131,0.1703657569924131,0.07654852225116068,0.04886196353753822,0.07824708413543201,0.0991393953119692
